[1 - 7f4a6408b000]    0.165459 {2}{mapper}: Memories on rank 1:
[1 - 7f4a6408b000]    0.165506 {2}{mapper}:   1a00010000000000 (GPU_FB_MEM)
[1 - 7f4a6408b000]    0.165515 {2}{mapper}:   1a00010000000001 (GPU_FB_MEM)
[1 - 7f4a6408b000]    0.165520 {2}{mapper}:   1a00010000000002 (GPU_FB_MEM)
[1 - 7f4a6408b000]    0.165526 {2}{mapper}:   1a00010000000003 (GPU_FB_MEM)
[1 - 7f4a6408b000]    0.165532 {2}{mapper}:   1e00010000000000 (SYSTEM_MEM)
[1 - 7f4a6408b000]    0.165537 {2}{mapper}:   1e00010000000001 (SYSTEM_MEM)
[1 - 7f4a6408b000]    0.165543 {2}{mapper}:   1e00010000000002 (SOCKET_MEM)
[1 - 7f4a6408b000]    0.165549 {2}{mapper}:   1e00010000000003 (SOCKET_MEM)
[1 - 7f4a6408b000]    0.165555 {2}{mapper}:   1e00010000000004 (GPU_FB_MEM)
[1 - 7f4a6408b000]    0.165561 {2}{mapper}:   1e00010000000005 (GPU_FB_MEM)
[1 - 7f4a6408b000]    0.165567 {2}{mapper}:   1e00010000000006 (GPU_FB_MEM)
[1 - 7f4a6408b000]    0.165572 {2}{mapper}:   1e00010000000007 (GPU_FB_MEM)
[1 - 7f4a6408b000]    0.165578 {2}{mapper}:   1e00010000000008 (GPU_DYNAMIC_MEM)
[1 - 7f4a6408b000]    0.165584 {2}{mapper}:   1e00010000000009 (GPU_DYNAMIC_MEM)
[1 - 7f4a6408b000]    0.165590 {2}{mapper}:   1e0001000000000a (GPU_DYNAMIC_MEM)
[1 - 7f4a6408b000]    0.165596 {2}{mapper}:   1e0001000000000b (GPU_DYNAMIC_MEM)
[1 - 7f4a6408b000]    0.165601 {2}{mapper}:   1e0001000000000c (Z_COPY_MEM)
[1 - 7f4a6408b000]    0.165607 {2}{mapper}:   1e0001000000000d (HDF_MEM)
[1 - 7f4a6408b000]    0.165613 {2}{mapper}:   1e0001000000000e (FILE_MEM)
[1 - 7f4a6408b000]    0.165619 {2}{mapper}: Processors on rank 1:
[1 - 7f4a6408b000]    0.165626 {2}{mapper}:   1d00010000000000 (UTIL_PROC) can see 1e00010000000000(bw=100) 1e00010000000001(bw=100) 1e0001000000000c(bw=40) 1e0001000000000d(bw=5) 1e0001000000000e(bw=5)
[1 - 7f4a6408b000]    0.165632 {2}{mapper}:   1d00010000000001 (LOC_PROC) can see 1e00010000000000(bw=100) 1e00010000000001(bw=100) 1e0001000000000c(bw=40) 1e0001000000000d(bw=5) 1e0001000000000e(bw=5)
[1 - 7f4a6408b000]    0.165638 {2}{mapper}:   1d00010000000002 (OMP_PROC) can see 1e00010000000000(bw=100) 1e00010000000001(bw=100) 1e00010000000002(bw=140) 1e00010000000003(bw=129) 1e0001000000000c(bw=40)
[1 - 7f4a6408b000]    0.165645 {2}{mapper}:   1d00010000000003 (TOC_PROC) can see 1e00010000000004(bw=200) 1e00010000000005(bw=10) 1e00010000000006(bw=10) 1e00010000000007(bw=10) 1e00010000000008(bw=200) 1e00010000000009(bw=10) 1e0001000000000a(bw=10) 1e0001000000000b(bw=10) 1e0001000000000c(bw=20)
[1 - 7f4a6408b000]    0.165651 {2}{mapper}:   1d00010000000004 (TOC_PROC) can see 1e00010000000004(bw=10) 1e00010000000005(bw=200) 1e00010000000006(bw=10) 1e00010000000007(bw=10) 1e00010000000008(bw=10) 1e00010000000009(bw=200) 1e0001000000000a(bw=10) 1e0001000000000b(bw=10) 1e0001000000000c(bw=20)
