[1 - 7f6d843e6000]    0.124257 {2}{mapper}: Memories on rank 1:
[1 - 7f6d843e6000]    0.124322 {2}{mapper}:   1a00010000000000 (GPU_FB_MEM)
[1 - 7f6d843e6000]    0.124331 {2}{mapper}:   1a00010000000001 (GPU_FB_MEM)
[1 - 7f6d843e6000]    0.124337 {2}{mapper}:   1a00010000000002 (GPU_FB_MEM)
[1 - 7f6d843e6000]    0.124342 {2}{mapper}:   1a00010000000003 (GPU_FB_MEM)
[1 - 7f6d843e6000]    0.124347 {2}{mapper}:   1e00010000000000 (SYSTEM_MEM)
[1 - 7f6d843e6000]    0.124353 {2}{mapper}:   1e00010000000001 (SYSTEM_MEM)
[1 - 7f6d843e6000]    0.124358 {2}{mapper}:   1e00010000000002 (SOCKET_MEM)
[1 - 7f6d843e6000]    0.124364 {2}{mapper}:   1e00010000000003 (SOCKET_MEM)
[1 - 7f6d843e6000]    0.124370 {2}{mapper}:   1e00010000000004 (GPU_FB_MEM)
[1 - 7f6d843e6000]    0.124375 {2}{mapper}:   1e00010000000005 (GPU_FB_MEM)
[1 - 7f6d843e6000]    0.124381 {2}{mapper}:   1e00010000000006 (GPU_FB_MEM)
[1 - 7f6d843e6000]    0.124386 {2}{mapper}:   1e00010000000007 (GPU_FB_MEM)
[1 - 7f6d843e6000]    0.124392 {2}{mapper}:   1e00010000000008 (GPU_DYNAMIC_MEM)
[1 - 7f6d843e6000]    0.124397 {2}{mapper}:   1e00010000000009 (GPU_DYNAMIC_MEM)
[1 - 7f6d843e6000]    0.124402 {2}{mapper}:   1e0001000000000a (GPU_DYNAMIC_MEM)
[1 - 7f6d843e6000]    0.124408 {2}{mapper}:   1e0001000000000b (GPU_DYNAMIC_MEM)
[1 - 7f6d843e6000]    0.124413 {2}{mapper}:   1e0001000000000c (Z_COPY_MEM)
[1 - 7f6d843e6000]    0.124419 {2}{mapper}:   1e0001000000000d (HDF_MEM)
[1 - 7f6d843e6000]    0.124424 {2}{mapper}:   1e0001000000000e (FILE_MEM)
[1 - 7f6d843e6000]    0.124430 {2}{mapper}: Processors on rank 1:
[1 - 7f6d843e6000]    0.124436 {2}{mapper}:   1d00010000000000 (UTIL_PROC) can see 1e00010000000000(bw=100) 1e00010000000001(bw=100) 1e0001000000000c(bw=40) 1e0001000000000d(bw=5) 1e0001000000000e(bw=5)
[1 - 7f6d843e6000]    0.124442 {2}{mapper}:   1d00010000000001 (LOC_PROC) can see 1e00010000000000(bw=100) 1e00010000000001(bw=100) 1e0001000000000c(bw=40) 1e0001000000000d(bw=5) 1e0001000000000e(bw=5)
[1 - 7f6d843e6000]    0.124448 {2}{mapper}:   1d00010000000002 (OMP_PROC) can see 1e00010000000000(bw=100) 1e00010000000001(bw=100) 1e00010000000002(bw=140) 1e00010000000003(bw=129) 1e0001000000000c(bw=40)
[1 - 7f6d843e6000]    0.124455 {2}{mapper}:   1d00010000000003 (TOC_PROC) can see 1e00010000000004(bw=200) 1e00010000000005(bw=10) 1e00010000000006(bw=10) 1e00010000000007(bw=10) 1e00010000000008(bw=200) 1e00010000000009(bw=10) 1e0001000000000a(bw=10) 1e0001000000000b(bw=10) 1e0001000000000c(bw=20)
