[1 - 7fa9b805a000]    0.113639 {2}{mapper}: Memories on rank 1:
[1 - 7fa9b805a000]    0.113700 {2}{mapper}:   1a00010000000000 (GPU_FB_MEM)
[1 - 7fa9b805a000]    0.113709 {2}{mapper}:   1a00010000000001 (GPU_FB_MEM)
[1 - 7fa9b805a000]    0.113715 {2}{mapper}:   1a00010000000002 (GPU_FB_MEM)
[1 - 7fa9b805a000]    0.113720 {2}{mapper}:   1a00010000000003 (GPU_FB_MEM)
[1 - 7fa9b805a000]    0.113725 {2}{mapper}:   1e00010000000000 (SYSTEM_MEM)
[1 - 7fa9b805a000]    0.113730 {2}{mapper}:   1e00010000000001 (SYSTEM_MEM)
[1 - 7fa9b805a000]    0.113735 {2}{mapper}:   1e00010000000002 (SOCKET_MEM)
[1 - 7fa9b805a000]    0.113741 {2}{mapper}:   1e00010000000003 (SOCKET_MEM)
[1 - 7fa9b805a000]    0.113747 {2}{mapper}:   1e00010000000004 (GPU_FB_MEM)
[1 - 7fa9b805a000]    0.113752 {2}{mapper}:   1e00010000000005 (GPU_FB_MEM)
[1 - 7fa9b805a000]    0.113757 {2}{mapper}:   1e00010000000006 (GPU_FB_MEM)
[1 - 7fa9b805a000]    0.113763 {2}{mapper}:   1e00010000000007 (GPU_FB_MEM)
[1 - 7fa9b805a000]    0.113768 {2}{mapper}:   1e00010000000008 (GPU_DYNAMIC_MEM)
[1 - 7fa9b805a000]    0.113773 {2}{mapper}:   1e00010000000009 (GPU_DYNAMIC_MEM)
[1 - 7fa9b805a000]    0.113779 {2}{mapper}:   1e0001000000000a (GPU_DYNAMIC_MEM)
[1 - 7fa9b805a000]    0.113784 {2}{mapper}:   1e0001000000000b (GPU_DYNAMIC_MEM)
[1 - 7fa9b805a000]    0.113789 {2}{mapper}:   1e0001000000000c (Z_COPY_MEM)
[1 - 7fa9b805a000]    0.113795 {2}{mapper}:   1e0001000000000d (HDF_MEM)
[1 - 7fa9b805a000]    0.113800 {2}{mapper}:   1e0001000000000e (FILE_MEM)
