[0 - 7f79b00db000]    0.112548 {2}{mapper}: Memories on rank 0:
[0 - 7f79b00db000]    0.112599 {2}{mapper}:   1a00000000000000 (GPU_FB_MEM)
[0 - 7f79b00db000]    0.112607 {2}{mapper}:   1a00000000000001 (GPU_FB_MEM)
[0 - 7f79b00db000]    0.112612 {2}{mapper}:   1a00000000000002 (GPU_FB_MEM)
[0 - 7f79b00db000]    0.112618 {2}{mapper}:   1a00000000000003 (GPU_FB_MEM)
[0 - 7f79b00db000]    0.112623 {2}{mapper}:   1e00000000000000 (SYSTEM_MEM)
[0 - 7f79b00db000]    0.112628 {2}{mapper}:   1e00000000000001 (SYSTEM_MEM)
[0 - 7f79b00db000]    0.112638 {2}{mapper}:   1e00000000000002 (SOCKET_MEM)
[0 - 7f79b00db000]    0.112646 {2}{mapper}:   1e00000000000003 (SOCKET_MEM)
[0 - 7f79b00db000]    0.112652 {2}{mapper}:   1e00000000000004 (GPU_FB_MEM)
[0 - 7f79b00db000]    0.112660 {2}{mapper}:   1e00000000000005 (GPU_FB_MEM)
[0 - 7f79b00db000]    0.112668 {2}{mapper}:   1e00000000000006 (GPU_FB_MEM)
[0 - 7f79b00db000]    0.112675 {2}{mapper}:   1e00000000000007 (GPU_FB_MEM)
[0 - 7f79b00db000]    0.112685 {2}{mapper}:   1e00000000000008 (GPU_DYNAMIC_MEM)
[0 - 7f79b00db000]    0.112693 {2}{mapper}:   1e00000000000009 (GPU_DYNAMIC_MEM)
[0 - 7f79b00db000]    0.112698 {2}{mapper}:   1e0000000000000a (GPU_DYNAMIC_MEM)
[0 - 7f79b00db000]    0.112705 {2}{mapper}:   1e0000000000000b (GPU_DYNAMIC_MEM)
[0 - 7f79b00db000]    0.112713 {2}{mapper}:   1e0000000000000c (Z_COPY_MEM)
[0 - 7f79b00db000]    0.112721 {2}{mapper}:   1e0000000000000d (HDF_MEM)
[0 - 7f79b00db000]    0.112728 {2}{mapper}:   1e0000000000000e (FILE_MEM)
[0 - 7f79b00db000]    0.112736 {2}{mapper}: Processors on rank 0:
[0 - 7f79b00db000]    0.112744 {2}{mapper}:   1d00000000000000 (UTIL_PROC) can see 1e00000000000000(bw=100) 1e00000000000001(bw=100) 1e0000000000000c(bw=40) 1e0000000000000d(bw=5) 1e0000000000000e(bw=5)
[0 - 7f79b00db000]    0.112752 {2}{mapper}:   1d00000000000001 (LOC_PROC) can see 1e00000000000000(bw=100) 1e00000000000001(bw=100) 1e0000000000000c(bw=40) 1e0000000000000d(bw=5) 1e0000000000000e(bw=5)
[0 - 7f79b00db000]    0.112761 {2}{mapper}:   1d00000000000002 (OMP_PROC) can see 1e00000000000000(bw=100) 1e00000000000001(bw=100) 1e00000000000002(bw=140) 1e00000000000003(bw=129) 1e0000000000000c(bw=40)
[0 - 7f79b00db000]    0.112770 {2}{mapper}:   1d00000000000003 (TOC_PROC) can see 1e00000000000004(bw=200) 1e00000000000005(bw=10) 1e00000000000006(bw=10) 1e00000000000007(bw=10) 1e00000000000008(bw=200) 1e00000000000009(bw=10) 1e0000000000000a(bw=10) 1e0000000000000b(bw=10) 1e0000000000000c(bw=20)
[0 - 7f79b00db000]    0.112780 {2}{mapper}:   1d00000000000004 (TOC_PROC) can see 1e00000000000004(bw=10) 1e00000000000005(bw=200) 1e00000000000006(bw=10) 1e00000000000007(bw=10) 1e00000000000008(bw=10) 1e00000000000009(bw=200) 1e0000000000000a(bw=10) 1e0000000000000b(bw=10) 1e0000000000000c(bw=20)
[0 - 7f79b00db000]    0.112789 {2}{mapper}:   1d00000000000005 (TOC_PROC) can see 1e00000000000004(bw=10) 1e00000000000005(bw=10) 1e00000000000006(bw=200) 1e00000000000007(bw=10) 1e00000000000008(bw=10) 1e00000000000009(bw=10) 1e0000000000000a(bw=200) 1e0000000000000b(bw=10) 1e0000000000000c(bw=20)
[0 - 7f79b00db000]    0.112798 {2}{mapper}:   1d00000000000006 (TOC_PROC) can see 1e00000000000004(bw=10) 1e00000000000005(bw=10) 1e00000000000006(bw=10) 1e00000000000007(bw=200) 1e00000000000008(bw=10) 1e00000000000009(bw=10) 1e0000000000000a(bw=10) 1e0000000000000b(bw=200) 1e0000000000000c(bw=20)
[0 - 7f79b00db000]    0.113013 {2}{mapper}: Memories on rank 0:
[0 - 7f79b00db000]    0.113027 {2}{mapper}:   1a00000000000000 (GPU_FB_MEM)
[0 - 7f79b00db000]    0.113034 {2}{mapper}:   1a00000000000001 (GPU_FB_MEM)
[0 - 7f79b00db000]    0.113041 {2}{mapper}:   1a00000000000002 (GPU_FB_MEM)
[0 - 7f79b00db000]    0.113048 {2}{mapper}:   1a00000000000003 (GPU_FB_MEM)
[0 - 7f79b00db000]    0.113055 {2}{mapper}:   1e00000000000000 (SYSTEM_MEM)
[0 - 7f79b00db000]    0.113062 {2}{mapper}:   1e00000000000001 (SYSTEM_MEM)
[0 - 7f79b00db000]    0.113070 {2}{mapper}:   1e00000000000002 (SOCKET_MEM)
[0 - 7f79b00db000]    0.113079 {2}{mapper}:   1e00000000000003 (SOCKET_MEM)
[0 - 7f79b00db000]    0.113086 {2}{mapper}:   1e00000000000004 (GPU_FB_MEM)
[0 - 7f79b00db000]    0.113094 {2}{mapper}:   1e00000000000005 (GPU_FB_MEM)
[0 - 7f79b00db000]    0.113101 {2}{mapper}:   1e00000000000006 (GPU_FB_MEM)
[0 - 7f79b00db000]    0.113108 {2}{mapper}:   1e00000000000007 (GPU_FB_MEM)
[0 - 7f79b00db000]    0.113115 {2}{mapper}:   1e00000000000008 (GPU_DYNAMIC_MEM)
[1 - 7f76ec084000]    0.112774 {2}{mapper}: Memories on rank 1:
[1 - 7f76ec084000]    0.112834 {2}{mapper}:   1a00010000000000 (GPU_FB_MEM)
[1 - 7f76ec084000]    0.112842 {2}{mapper}:   1a00010000000001 (GPU_FB_MEM)
[1 - 7f76ec084000]    0.112847 {2}{mapper}:   1a00010000000002 (GPU_FB_MEM)
[1 - 7f76ec084000]    0.112855 {2}{mapper}:   1a00010000000003 (GPU_FB_MEM)
[1 - 7f76ec084000]    0.112861 {2}{mapper}:   1e00010000000000 (SYSTEM_MEM)
[1 - 7f76ec084000]    0.112866 {2}{mapper}:   1e00010000000001 (SYSTEM_MEM)
[1 - 7f76ec084000]    0.112876 {2}{mapper}:   1e00010000000002 (SOCKET_MEM)
[1 - 7f76ec084000]    0.112893 {2}{mapper}:   1e00010000000003 (SOCKET_MEM)
[1 - 7f76ec084000]    0.112901 {2}{mapper}:   1e00010000000004 (GPU_FB_MEM)
[1 - 7f76ec084000]    0.112909 {2}{mapper}:   1e00010000000005 (GPU_FB_MEM)
[1 - 7f76ec084000]    0.112920 {2}{mapper}:   1e00010000000006 (GPU_FB_MEM)
[1 - 7f76ec084000]    0.112928 {2}{mapper}:   1e00010000000007 (GPU_FB_MEM)
[0 - 7f79b00db000]    0.113123 {2}{mapper}:   1e00000000000009 (GPU_DYNAMIC_MEM)
[0 - 7f79b00db000]    0.113130 {2}{mapper}:   1e0000000000000a (GPU_DYNAMIC_MEM)
[0 - 7f79b00db000]    0.113138 {2}{mapper}:   1e0000000000000b (GPU_DYNAMIC_MEM)
[0 - 7f79b00db000]    0.113145 {2}{mapper}:   1e0000000000000c (Z_COPY_MEM)
[0 - 7f79b00db000]    0.113152 {2}{mapper}:   1e0000000000000d (HDF_MEM)
[0 - 7f79b00db000]    0.113160 {2}{mapper}:   1e0000000000000e (FILE_MEM)
[1 - 7f76ec084000]    0.112935 {2}{mapper}:   1e00010000000008 (GPU_DYNAMIC_MEM)
[1 - 7f76ec084000]    0.112943 {2}{mapper}:   1e00010000000009 (GPU_DYNAMIC_MEM)
[1 - 7f76ec084000]    0.112951 {2}{mapper}:   1e0001000000000a (GPU_DYNAMIC_MEM)
[1 - 7f76ec084000]    0.112958 {2}{mapper}:   1e0001000000000b (GPU_DYNAMIC_MEM)
